rec_ID,rec_RecTypeID,rec_Title,rec_URL,rec_ScratchPad,rec_OwnerUGrpID,rec_NonOwnerVisibility,rec_URLLastVerified,rec_URLErrorMessage,rec_Added,rec_Modified,rec_AddedByUGrpID,rec_Hash,rec_FlagTemporary,rec_RecTypeName,rec_RecTypeConceptID,source_record_id,source_record_name,source_record_type,target_record_id,target_record_name,target_record_type,relationship_term_label
965,1,Anglais – Bueve de Hanstonne | IsGroupedWithin - > Anglais,,,0,viewable,,,2024-03-27 13:29:25,2024-03-27 13:33:52,6,,0,Record relationship,2-1,37,Anglais – Bueve de Hanstonne,102,26,Anglais,102,IsGroupedWithin
967,1,Charlemagne -- ?? | IsGroupedWithin - > Charlemagne,,,0,viewable,,,2024-03-27 13:29:25,2024-03-27 13:33:52,6,,0,Record relationship,2-1,53,Charlemagne -- ??,102,952,Charlemagne,102,IsGroupedWithin
966,1,Charlemagne – Agolant | IsGroupedWithin - > Charlemagne,,,0,viewable,,,2024-03-27 13:29:25,2024-03-27 13:33:52,6,,0,Record relationship,2-1,54,Charlemagne – Agolant,102,952,Charlemagne,102,IsGroupedWithin
968,1,Charlemagne – après Roncevaux | IsGroupedWithin - > Charlemagne – Roncevaux,,,0,viewable,,,2024-03-27 13:33:52,2024-03-27 14:33:52,6,,0,Record relationship,2-1,5,Charlemagne – après Roncevaux,102,9,Charlemagne – Roncevaux,102,IsGroupedWithin
979,1,Charlemagne – avant Roncevaux | IsGroupedWithin - > Charlemagne – Roncevaux,,,0,viewable,,,2024-03-27 13:33:52,2024-03-27 14:33:52,6,,0,Record relationship,2-1,930,Charlemagne – avant Roncevaux,102,9,Charlemagne – Roncevaux,102,IsGroupedWithin
990,1,Charlemagne – avant Roncevaux? | IsGroupedWithin - > Charlemagne – Roncevaux,,,0,viewable,,,2024-03-27 13:33:52,2024-03-27 14:33:52,6,,0,Record relationship,2-1,931,Charlemagne – avant Roncevaux?,102,9,Charlemagne – Roncevaux,102,IsGroupedWithin
997,1,Charlemagne – reliques Passion | IsGroupedWithin - > Charlemagne,,,0,viewable,,,2024-03-27 13:33:52,2024-03-27 14:33:52,6,,0,Record relationship,2-1,6,Charlemagne – reliques Passion,102,952,Charlemagne,102,IsGroupedWithin
998,1,Charlemagne – reliques Passion – Rome | IsGroupedWithin - > Charlemagne – reliques Passion,,,0,viewable,,,2024-03-27 13:33:52,2024-03-27 14:33:52,6,,0,Record relationship,2-1,7,Charlemagne – reliques Passion – Rome,102,6,Charlemagne – reliques Passion,102,IsGroupedWithin
999,1,Charlemagne – Roncevaux | IsGroupedWithin - > Charlemagne,,,0,viewable,,,2024-03-27 13:33:52,2024-03-27 14:33:52,6,,0,Record relationship,2-1,9,Charlemagne – Roncevaux,102,952,Charlemagne,102,IsGroupedWithin
1000,1,Charlemagne – suite Roncevaux | IsGroupedWithin - > Charlemagne – Roncevaux,,,0,viewable,,,2024-03-27 13:33:52,2024-03-27 14:33:52,6,,0,Record relationship,2-1,10,Charlemagne – suite Roncevaux,102,9,Charlemagne – Roncevaux,102,IsGroupedWithin
1002,1,Charlemagne – Vassaux rebelles | IsGroupedWithin - > Charlemagne – Vassaux,,,0,viewable,,,2024-03-27 13:33:52,2024-03-27 14:33:52,6,,0,Record relationship,2-1,11,Charlemagne – Vassaux rebelles,102,953,Charlemagne – Vassaux,102,IsGroupedWithin
1001,1,Charlemagne – Vassaux | IsGroupedWithin - > Charlemagne,,,0,viewable,,,2024-03-27 13:33:52,2024-03-27 14:33:52,6,,0,Record relationship,2-1,953,Charlemagne – Vassaux,102,952,Charlemagne,102,IsGroupedWithin
969,1,Charlemagne – vassaux?? | IsGroupedWithin - > Charlemagne – Vassaux,,,0,viewable,,,2024-03-27 13:33:52,2024-03-27 14:33:52,6,,0,Record relationship,2-1,932,Charlemagne – vassaux??,102,953,Charlemagne – Vassaux,102,IsGroupedWithin
970,1,Charlemagne – Vie de Charlemagne | IsGroupedWithin - > Charlemagne,,,0,viewable,,,2024-03-27 13:33:52,2024-03-27 14:33:52,6,,0,Record relationship,2-1,12,Charlemagne – Vie de Charlemagne,102,952,Charlemagne,102,IsGroupedWithin
971,1,Charlemagne – Vie de Charlemagne? | IsGroupedWithin - > Charlemagne,,,0,viewable,,,2024-03-27 13:33:52,2024-03-27 14:33:52,6,,0,Record relationship,2-1,929,Charlemagne – Vie de Charlemagne?,102,952,Charlemagne,102,IsGroupedWithin
972,1,Charlemagne – Vie de Roland | IsGroupedWithin - > Charlemagne,,,0,viewable,,,2024-03-27 13:33:52,2024-03-27 14:33:52,6,,0,Record relationship,2-1,8,Charlemagne – Vie de Roland,102,952,Charlemagne,102,IsGroupedWithin
973,1,Croisade 1 | IsGroupedWithin - > Croisade,,,0,viewable,,,2024-03-27 13:33:52,2024-03-27 14:33:52,6,,0,Record relationship,2-1,19,Croisade 1,102,14,Croisade,102,IsGroupedWithin
974,1,Croisade 1 – Lignage Godefroi | IsGroupedWithin - > Croisade 1,,,0,viewable,,,2024-03-27 13:33:52,2024-03-27 14:33:52,6,,0,Record relationship,2-1,21,Croisade 1 – Lignage Godefroi,102,19,Croisade 1,102,IsGroupedWithin
975,1,Croisade 2 | IsGroupedWithin - > Croisade,,,0,viewable,,,2024-03-27 13:33:52,2024-03-27 14:33:52,6,,0,Record relationship,2-1,22,Croisade 2,102,14,Croisade,102,IsGroupedWithin
976,1,Croisade ? | IsGroupedWithin - > Croisade,,,0,viewable,,,2024-03-27 13:33:52,2024-03-27 14:33:52,6,,0,Record relationship,2-1,18,Croisade ?,102,14,Croisade,102,IsGroupedWithin
977,1,Croisade – Albigeois | IsGroupedWithin - > Croisade,,,0,viewable,,,2024-03-27 13:33:52,2024-03-27 14:33:52,6,,0,Record relationship,2-1,16,Croisade – Albigeois,102,14,Croisade,102,IsGroupedWithin
978,1,Croisade – Reconquista | IsGroupedWithin - > Croisade,,,0,viewable,,,2024-03-27 13:33:52,2024-03-27 14:33:52,6,,0,Record relationship,2-1,17,Croisade – Reconquista,102,14,Croisade,102,IsGroupedWithin
980,1,Croisade? | IsGroupedWithin - > Croisade,,,0,viewable,,,2024-03-27 13:33:52,2024-03-27 14:33:52,6,,0,Record relationship,2-1,933,Croisade?,102,14,Croisade,102,IsGroupedWithin
981,1,Indépendant – actualité | IsGroupedWithin - > Indépendant,,,0,viewable,,,2024-03-27 13:33:52,2024-03-27 14:33:52,6,,0,Record relationship,2-1,30,Indépendant – actualité,102,28,Indépendant,102,IsGroupedWithin
982,1,Indépendant – Arles | IsGroupedWithin - > Indépendant,,,0,viewable,,,2024-03-27 13:33:52,2024-03-27 14:33:52,6,,0,Record relationship,2-1,31,Indépendant – Arles,102,28,Indépendant,102,IsGroupedWithin
983,1,Indépendant – Isembart | IsGroupedWithin - > Indépendant,,,0,viewable,,,2024-03-27 13:33:52,2024-03-27 14:33:52,6,,0,Record relationship,2-1,32,Indépendant – Isembart,102,28,Indépendant,102,IsGroupedWithin
984,1,Indépendant – Mérovingien | IsGroupedWithin - > Indépendant,,,0,viewable,,,2024-03-27 13:33:52,2024-03-27 14:33:52,6,,0,Record relationship,2-1,33,Indépendant – Mérovingien,102,28,Indépendant,102,IsGroupedWithin
985,1,Indépendant – [liens avec geste des Lorrains] | IsGroupedWithin - > Indépendant,,,0,viewable,,,2024-03-27 13:33:52,2024-03-27 14:33:52,6,,0,Record relationship,2-1,29,Indépendant – [liens avec geste des Lorrains],102,28,Indépendant,102,IsGroupedWithin
986,1,Indépendant? | IsGroupedWithin - > Indépendant,,,0,viewable,,,2024-03-27 13:33:52,2024-03-27 14:33:52,6,,0,Record relationship,2-1,935,Indépendant?,102,28,Indépendant,102,IsGroupedWithin
987,1,Monglane -- ? | IsGroupedWithin - > Monglane,,,0,viewable,,,2024-03-27 13:33:52,2024-03-27 14:33:52,6,,0,Record relationship,2-1,35,Monglane -- ?,102,954,Monglane,102,IsGroupedWithin
988,1,Monglane -- Rainouart | IsGroupedWithin - > Monglane,,,0,viewable,,,2024-03-27 13:33:52,2024-03-27 14:33:52,6,,0,Record relationship,2-1,36,Monglane -- Rainouart,102,954,Monglane,102,IsGroupedWithin
989,1,Monglane – Aliscans/Larchamp | IsGroupedWithin - > Monglane,,,0,viewable,,,2024-03-27 13:33:52,2024-03-27 14:33:52,6,,0,Record relationship,2-1,38,Monglane – Aliscans/Larchamp,102,954,Monglane,102,IsGroupedWithin
991,1,Monglane – Garin (les origines) | IsGroupedWithin - > Monglane,,,0,viewable,,,2024-03-27 13:33:52,2024-03-27 14:33:52,6,,0,Record relationship,2-1,39,Monglane – Garin (les origines),102,954,Monglane,102,IsGroupedWithin
993,1,Monglane – Guillaume (fin) | IsGroupedWithin - > Monglane,,,0,viewable,,,2024-03-27 13:33:52,2024-03-27 14:33:52,6,,0,Record relationship,2-1,41,Monglane – Guillaume (fin),102,954,Monglane,102,IsGroupedWithin
992,1,Monglane – Guillaume | IsGroupedWithin - > Monglane,,,0,viewable,,,2024-03-27 13:33:52,2024-03-27 14:33:52,6,,0,Record relationship,2-1,40,Monglane – Guillaume,102,954,Monglane,102,IsGroupedWithin
994,1,Monglane – indépendante | IsGroupedWithin - > Monglane,,,0,viewable,,,2024-03-27 13:33:52,2024-03-27 14:33:52,6,,0,Record relationship,2-1,42,Monglane – indépendante,102,954,Monglane,102,IsGroupedWithin
995,1,Monglane – Narbonne | IsGroupedWithin - > Monglane,,,0,viewable,,,2024-03-27 13:33:52,2024-03-27 14:33:52,6,,0,Record relationship,2-1,43,Monglane – Narbonne,102,954,Monglane,102,IsGroupedWithin
996,1,Monglane – Vivien | IsGroupedWithin - > Monglane,,,0,viewable,,,2024-03-27 13:33:52,2024-03-27 14:33:52,6,,0,Record relationship,2-1,44,Monglane – Vivien,102,954,Monglane,102,IsGroupedWithin
